tower,section_id,section_height_m,r2_del,r2_damage,coef_thrust_turbulence,coef_rotor_cyclic,coef_wave_quasistatic,coef_wave_inertial
ref,1,1.593944915,0.7318284735401477,0.5606113374498628,0.0,2.145865356804084e-06,1.2668018119643725e-05,4.7406888444880095e-06
ref,2,5.7085469,0.7309043066243088,0.5584457394083722,0.0,2.0800874211400978e-06,1.2381113377650835e-05,4.5948117455751525e-06
ref,3,10.74986104,0.729646052051848,0.5555134767113481,0.0,2.0559057497435557e-06,1.2333891508510256e-05,4.540144801686102e-06
ref,4,15.791175185,0.7285177035992441,0.5528783596107001,0.0,2.0134298250952926e-06,1.2162555362913026e-05,4.4437219302619255e-06
ref,5,20.83248933,0.7274100648354431,0.5502884993701243,0.0,1.961909990086197e-06,1.1930502362321214e-05,4.326192206603545e-06
ref,6,25.873803475000003,0.7261976170358574,0.5474715970483562,0.0,1.908657573499781e-06,1.1694845445413253e-05,4.2066325962663315e-06
ref,7,30.915117620000004,0.7251617249931677,0.5450743539879748,0.0,1.8535471027709754e-06,1.1419530523230161e-05,4.08278890014933e-06
ref,8,35.95643176,0.7241472581128543,0.5426969231743637,0.0,1.7973031954130118e-06,1.1126771272606821e-05,3.952976812398995e-06
ref,9,40.997745905,0.7230368231736366,0.5400748951295973,0.0,1.7400087562301036e-06,1.0835862485488472e-05,3.819782154627351e-06
ref,10,46.03906005,0.7221839472340161,0.5380407304855498,0.0,1.6824954759912585e-06,1.0519113356882343e-05,3.684442897090983e-06
ref,11,51.080374195000005,0.7214065787586343,0.5361231624820343,0.0,1.6250115723703859e-06,1.0199888138239058e-05,3.544917937694674e-06
ref,12,56.12168834,0.7206289227032153,0.5341441627971533,0.0,1.5679292165304374e-06,9.897674683198175e-06,3.403842072778907e-06
ref,13,61.16300248,0.7202858753226882,0.5330683072782421,0.0,1.5129043602474923e-06,9.588139155121462e-06,3.2619177642374086e-06
ref,14,66.204316625,0.7201678402353746,0.5323637836857722,0.0,1.4592506285390482e-06,9.290126088756028e-06,3.1156150787770995e-06
ref,15,71.24563077,0.7201807556998405,0.5317609253843725,0.0,1.407525418174662e-06,9.018666366975114e-06,2.961979419484831e-06
ref,16,76.28694491499999,0.7205927852090475,0.5320776269045115,0.0,1.3552252200294e-06,8.723052750588409e-06,2.8105312121343887e-06
ref,17,81.32825906,0.7211841177828056,0.5327095459334591,0.0,1.301788669830709e-06,8.42416123378853e-06,2.6547301013945005e-06
ref,18,86.3695732,0.7218990254350348,0.5335248806516033,0.0,1.2469053928050224e-06,8.132176018438278e-06,2.494892237524029e-06
ref,19,91.410887345,0.7230159094481058,0.5352026386327994,0.0,1.1890391690277533e-06,7.792014078105304e-06,2.3313050820275434e-06
